"StartDate","EndDate","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","consentQ","age","gender","gender_4_TEXT","S_M_R_1","S_M_R_2","S_M_R_3","S_M_R_4","S_M_M_1","J_ND1_R_1","J_ND1_R_2","J_ND1_R_3","J_ND1_R_4","J_ND1_M_1","C_ND2_R_1","C_ND2_R_2","C_ND2_R_3","C_ND2_R_4","C_ND2_M_1","F_M_R_1","F_M_R_2","F_M_R_3","F_M_R_4","F_M_M_1","A_M_R_1","A_M_R_2","A_M_R_3","A_M_R_4","A_M_M_1","R_M_R_1","R_M_R_2","R_M_R_3","R_M_R_4","R_M_M_1","attn_chk_1Q","attn_chk_2_Q"
2022-01-31 06:48:00,2022-01-31 06:50:22,100,142,TRUE,2022-01-31 06:50:22,"R_2sc1ZhTTKyMfucw",NA,NA,NA,NA,"anonymous","EN","Yes",30,"Male",NA,5,6,5,4,79,6,5,4,5,77,5,4,6,5,72,5,6,5,4,76,6,5,4,5,67,6,5,6,5,82,"None of the above","Swimming"
2022-01-31 06:46:35,2022-01-31 06:50:21,100,226,TRUE,2022-01-31 06:50:23,"R_rojYodfsBZNjxZf",NA,NA,NA,NA,"anonymous","EN","Yes",40,"Female",NA,5,5,6,5,69,5,6,6,7,61,4,5,5,6,66,6,7,6,7,66,7,6,6,5,68,6,6,7,6,74,"None of the above","Soccer"
2022-01-31 06:46:58,2022-01-31 06:50:27,100,208,TRUE,2022-01-31 06:50:27,"R_UuzIvQ60YRv7Jnj",NA,NA,NA,NA,"anonymous","EN","Yes",25,"Female",NA,6,4,6,7,81,6,4,6,7,75,6,4,6,7,81,7,5,4,6,79,5,6,4,6,71,5,4,6,7,81,"None of the above","Basketball"
2022-01-31 06:46:46,2022-01-31 06:50:30,100,223,TRUE,2022-01-31 06:50:30,"R_7ZYqdUv33jyd5YZ",NA,NA,NA,NA,"anonymous","EN","Yes",46,"Female",NA,1,1,3,1,0,4,4,4,4,50,4,4,4,4,50,1,1,4,2,0,1,2,4,1,0,1,1,1,1,0,"None of the above","Soccer"
2022-01-31 06:48:25,2022-01-31 06:50:32,100,126,TRUE,2022-01-31 06:50:32,"R_1EXV621IE7HJ98G",NA,NA,NA,NA,"anonymous","EN","Yes",35,"Male",NA,1,1,1,1,0,4,4,4,4,50,4,4,4,4,50,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,"None of the above","Soccer"
2022-01-31 06:46:32,2022-01-31 06:50:32,100,240,TRUE,2022-01-31 06:50:33,"R_2alFgA2oXZuDmtl",NA,NA,NA,NA,"anonymous","EN","Yes",31,"Female",NA,7,6,5,7,89,6,7,6,6,81,6,7,6,6,81,6,7,7,6,72,6,7,6,6,77,6,6,6,7,77,"Happy","Baseball"
2022-01-31 06:46:47,2022-01-31 06:50:35,100,227,TRUE,2022-01-31 06:50:35,"R_Q3tySbq6abjJZn3",NA,NA,NA,NA,"anonymous","EN","Yes",55,"Male",NA,5,6,3,5,82,7,7,7,7,100,7,7,7,7,100,1,6,2,2,36,4,6,7,6,88,1,5,1,2,88,"Happy","Basketball"
2022-01-31 06:46:41,2022-01-31 06:50:35,100,233,TRUE,2022-01-31 06:50:35,"R_268UkusSPdR2odr",NA,NA,NA,NA,"anonymous","EN","Yes",30,"Female",NA,6,6,7,7,83,7,7,6,6,89,6,6,7,7,84,6,7,7,6,89,6,6,7,6,77,7,7,6,7,84,"None of the above","Soccer"
2022-01-31 06:46:54,2022-01-31 06:50:39,100,224,TRUE,2022-01-31 06:50:39,"R_1kYSH8lPi4wWCUO",NA,NA,NA,NA,"anonymous","EN","Yes",35,"Male",NA,6,7,6,7,80,6,7,6,7,91,6,7,7,6,91,6,7,6,7,91,6,7,6,6,83,6,7,6,7,84,"Happy","Soccer"
2022-01-31 06:46:41,2022-01-31 06:50:47,100,245,TRUE,2022-01-31 06:50:47,"R_TbCRX7TlnROLGet",NA,NA,NA,NA,"anonymous","EN","Yes",29,"Male",NA,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,"None of the above","Basketball"
2022-01-31 06:46:23,2022-01-31 06:50:48,100,265,TRUE,2022-01-31 06:50:49,"R_6mUzbRAkmTXtFqp",NA,NA,NA,NA,"anonymous","EN","Yes",33,"Male",NA,5,4,6,5,69,4,6,5,6,68,4,6,5,5,72,4,5,4,5,75,5,4,6,5,64,4,5,5,6,65,"None of the above","Basketball"
2022-01-31 06:46:24,2022-01-31 06:50:51,100,266,TRUE,2022-01-31 06:50:51,"R_Rt0GFJJtYkSGskp",NA,NA,NA,NA,"anonymous","EN","Yes",48,"Female",NA,4,5,6,5,71,5,4,5,6,75,4,5,4,5,76,5,6,5,6,74,5,4,5,6,72,5,6,5,4,75,"Satisfied","Basketball"
2022-01-31 06:46:18,2022-01-31 06:50:56,100,278,TRUE,2022-01-31 06:50:56,"R_2Y4wK1yLDvjKNuI",NA,NA,NA,NA,"anonymous","EN","Yes",59,"Male",NA,2,1,2,2,13,6,6,6,6,93,5,6,6,6,92,2,2,3,3,19,2,2,2,2,13,2,2,2,3,14,"None of the above","Swimming"
2022-01-31 06:48:18,2022-01-31 06:50:57,100,159,TRUE,2022-01-31 06:50:58,"R_1Lp93na9UhI9SQR",NA,NA,NA,NA,"anonymous","EN","Yes",35,"Male",NA,4,5,6,5,55,3,4,4,5,60,3,5,5,6,62,3,4,4,5,67,3,3,4,4,66,4,3,5,5,66,"None of the above","Soccer"
2022-01-31 06:48:04,2022-01-31 06:50:59,100,175,TRUE,2022-01-31 06:50:59,"R_T6HtGOPZryc9X8t",NA,NA,NA,NA,"anonymous","EN","Yes",30,"Female",NA,6,4,5,6,85,6,4,5,6,91,6,4,5,6,65,6,5,6,4,94,6,3,4,6,90,6,5,6,5,78,"Self-Conscious","Basketball"
2022-01-31 06:46:23,2022-01-31 06:50:59,100,276,TRUE,2022-01-31 06:51:00,"R_10JdGplbTqYQYXH",NA,NA,NA,NA,"anonymous","EN","Yes",30,"Female",NA,6,6,5,6,58,6,5,5,6,55,5,6,6,5,60,6,6,6,5,62,5,5,6,6,60,5,5,6,6,57,"None of the above","Baseball"
2022-01-31 06:46:30,2022-01-31 06:51:00,100,269,TRUE,2022-01-31 06:51:00,"R_2YVvkpqIwSzKKCu",NA,NA,NA,NA,"anonymous","EN","Yes",48,"Male",NA,7,6,7,6,90,6,5,7,6,90,7,6,7,6,91,6,5,7,6,89,7,7,6,7,92,7,6,5,6,90,"None of the above","Swimming"
2022-01-31 06:46:35,2022-01-31 06:51:01,100,265,TRUE,2022-01-31 06:51:01,"R_33kUsjMu7AZEyvD",NA,NA,NA,NA,"anonymous","EN","Yes",27,"Female",NA,7,5,6,7,71,6,5,7,6,83,7,5,6,7,71,7,5,6,7,71,7,5,6,5,62,7,5,6,7,83,"None of the above","Swimming"
2022-01-31 06:48:02,2022-01-31 06:51:01,100,178,TRUE,2022-01-31 06:51:01,"R_29jp5wDCleFKRDQ",NA,NA,NA,NA,"anonymous","EN","Yes",34,"Male",NA,1,1,1,1,0,4,4,4,4,50,4,4,4,4,50,1,1,1,1,0,1,1,1,1,50,1,1,1,1,0,"None of the above","Soccer"
2022-01-31 06:46:09,2022-01-31 06:51:02,100,292,TRUE,2022-01-31 06:51:02,"R_yjr7ehAbHceumid",NA,NA,NA,NA,"anonymous","EN","Yes",37,"Male",NA,2,2,3,2,25,5,5,6,5,65,5,5,6,5,65,3,2,5,4,35,2,1,3,2,20,1,1,1,1,5,"None of the above","Soccer"
2022-01-31 06:46:55,2022-01-31 06:51:07,100,251,TRUE,2022-01-31 06:51:08,"R_3O1YaVFfQrapyuB",NA,NA,NA,NA,"anonymous","EN","Yes",36,"Male",NA,7,6,7,7,90,6,6,7,5,82,6,7,6,6,83,6,5,6,6,85,7,6,6,7,86,7,6,7,7,77,"None of the above","Soccer"
2022-01-31 06:46:21,2022-01-31 06:51:13,100,291,TRUE,2022-01-31 06:51:13,"R_2WU1nfcYFcWev1K",NA,NA,NA,NA,"anonymous","EN","Yes",30,"Female",NA,7,7,7,7,89,7,7,7,7,85,7,7,7,7,88,7,7,7,7,91,7,7,7,7,84,7,7,7,7,90,"None of the above","Soccer"
2022-01-31 06:46:53,2022-01-31 06:51:13,100,260,TRUE,2022-01-31 06:51:13,"R_9KWu0tIOKaegrTj",NA,NA,NA,NA,"anonymous","EN","Yes",31,"Male",NA,1,2,1,1,8,6,7,7,6,85,6,5,6,6,82,1,1,1,1,4,2,2,1,1,3,1,2,1,1,6,"None of the above","Soccer"
2022-01-31 06:46:12,2022-01-31 06:51:14,100,302,TRUE,2022-01-31 06:51:14,"R_1rrDaJn0l2V2wOv",NA,NA,NA,NA,"anonymous","EN","Yes",48,"Male",NA,7,6,7,6,90,7,6,7,6,91,7,6,7,6,92,7,6,7,6,91,7,6,7,7,94,7,6,7,7,84,"None of the above","Soccer"
2022-01-31 06:46:28,2022-01-31 06:51:23,100,294,TRUE,2022-01-31 06:51:23,"R_3O7GQiAOPDvTwwB",NA,NA,NA,NA,"anonymous","EN","Yes",32,"Male",NA,7,6,7,6,66,6,6,7,6,71,7,7,7,7,67,7,7,6,7,66,6,7,7,6,67,7,7,7,5,65,"Happy","Soccer"
2022-01-31 06:49:19,2022-01-31 06:51:23,100,123,TRUE,2022-01-31 06:51:23,"R_3PvFOp2yhcHD5nz",NA,NA,NA,NA,"anonymous","EN","Yes",48,"Female",NA,4,5,6,7,77,4,5,6,7,70,4,4,6,7,77,4,5,6,7,72,4,5,6,7,73,4,5,6,7,73,"None of the above","Soccer"
2022-01-31 06:46:47,2022-01-31 06:51:25,100,277,TRUE,2022-01-31 06:51:25,"R_3lM0ESyhR7MP0JC",NA,NA,NA,NA,"anonymous","EN","Yes",31,"Female",NA,2,3,4,5,65,4,4,5,5,67,4,5,6,2,79,4,5,4,4,64,3,4,5,6,63,5,4,5,2,74,"None of the above","Soccer"
2022-01-31 06:45:59,2022-01-31 06:51:24,100,325,TRUE,2022-01-31 06:51:25,"R_25FLHAZe208XClQ",NA,NA,NA,NA,"anonymous","EN","Yes",29,"Male",NA,1,1,1,2,42,5,7,6,5,74,6,7,6,7,88,1,2,4,3,42,3,2,4,4,45,1,3,1,1,46,"None of the above","Swimming"
2022-01-31 06:49:46,2022-01-31 06:51:25,100,99,TRUE,2022-01-31 06:51:25,"R_3LZmedqtjRVrBqb",NA,NA,NA,NA,"anonymous","EN","Yes",25,"Female",NA,6,5,7,7,85,6,4,5,5,74,7,6,7,7,92,5,6,5,5,77,5,4,4,6,73,5,4,7,6,74,"None of the above","Swimming"
2022-01-31 06:48:39,2022-01-31 06:51:27,100,167,TRUE,2022-01-31 06:51:28,"R_3FPg7tAuFskb8eE",NA,NA,NA,NA,"anonymous","EN","Yes",48,"Female",NA,4,6,5,4,82,4,6,5,6,75,4,7,4,5,90,4,6,4,6,77,4,6,5,4,95,4,6,5,6,93,"None of the above","Basketball"
2022-01-31 06:47:20,2022-01-31 06:51:32,100,251,TRUE,2022-01-31 06:51:32,"R_33pwqan8pja65YC",NA,NA,NA,NA,"anonymous","EN","Yes",32,"Male",NA,7,6,6,7,83,7,7,7,6,80,7,6,6,7,69,7,6,5,6,64,7,6,6,7,86,7,6,6,7,82,"None of the above","Basketball"
2022-01-31 06:48:03,2022-01-31 06:51:33,100,210,TRUE,2022-01-31 06:51:34,"R_1IsyClU59A1bUdJ",NA,NA,NA,NA,"anonymous","EN","Yes",30,"Female",NA,3,4,4,5,77,2,3,5,6,76,3,5,4,3,73,3,4,2,5,37,6,3,5,5,77,3,4,4,5,83,"Happy","Basketball"
